"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"soccer","n.","A2","足球","Soccer is popular worldwide.","What position would you play in soccer?"
"social","adj.","A2","社交的","I'm not very social at parties.","What social activities do you enjoy?"
"society","n.","A2","社会","We live in a modern society.","What would improve our society?"
"sock","n.","A2","袜子","I have a hole in my sock.","What color socks do you wear most?"
"soft","adj.","A2","柔软的","This pillow is very soft.","What soft texture do you love touching?"
"soldier","n.","A2","士兵","The soldier served his country.","What qualities should a soldier have?"
"solution","n.","A2","解决方案","We need a solution to this problem.","What solution would fix traffic problems?"
"solve","v.","A2","解决","Can you solve this puzzle?","What problems do you enjoy solving?"
"somewhere","adv.","A2","某处","I left my keys somewhere.","Where is somewhere you'd like to live?"
"sort","n.","A2","种类","What sort of music do you like?","What sort of person are you?"
"source","n.","A2","来源","What's your source of information?","What's your main source of happiness?"
"speaker","n.","A2","演讲者；扬声器","The speaker gave an inspiring talk.","What makes a good public speaker?"
"specific","adj.","A2","具体的","I need specific instructions.","What specific goal are you working toward?"
"speech","n.","A2","演讲","The president gave a speech.","What speech topics interest you?"
"speed","n.","A2","速度","What's the speed limit here?","At what speed do you prefer to work?"
"spider","n.","A2","蜘蛛","There's a spider in the bathroom.","What do you do when you see a spider?"
"spoon","n.","A2","勺子","Use a spoon for the soup.","What foods do you eat with a spoon?"
"square","n.","A2","广场；正方形","Meet me in the town square.","What activities happen in public squares?"
"stage","n.","A2","舞台；阶段","The actor walked onto the stage.","What would you perform on a stage?"
"stair","n.","A2","楼梯","Take the stairs to the second floor.","How many stairs do you climb daily?"
"stamp","n.","A2","邮票","Put a stamp on the envelope.","What stamp collection would interest you?"
"star","n.","A2","星星；明星","Look at the stars tonight.","What star do you admire most?"
"start","v.","A2","开始","Let's start our meeting now.","What new habit would you like to start?"
"state","n.","A2","州；状态","California is a large state.","What state of mind helps you learn?"
"stay","v.","A2","停留","Please stay for dinner.","Where would you like to stay on vacation?"
"steal","v.","A2","偷窃","It's wrong to steal from others.","What would make someone steal?"
"step","n.","A2","步骤；台阶","Take one step at a time.","What's the first step to achieving goals?"
"stomach","n.","A2","胃","My stomach hurts after eating.","What foods upset your stomach?"
"stone","n.","A2","石头","The path is made of stone.","What would you build with stones?"
"store","n.","A2","商店","The store closes at 9 PM.","What store do you visit most often?"
"storm","n.","A2","暴风雨","The storm damaged many trees.","What do you do during storms?"
"straight","adj.","A2","直的","Draw a straight line.","What's difficult about walking straight?"
"strange","adj.","A2","奇怪的","That's a strange noise.","What strange habit do you have?"
"strategy","n.","A2","策略","What's your strategy for learning?","What strategy works best for saving money?"
"stress","n.","A2","压力","Work causes me a lot of stress.","What helps you reduce stress?"
"structure","n.","A2","结构","The building has a strong structure.","What structure do you admire?"
"stupid","adj.","A2","愚蠢的","That was a stupid mistake.","What stupid things did you do as a child?"
"succeed","v.","A2","成功","I hope you succeed in life.","What helps people succeed in business?"
"successful","adj.","A2","成功的","She's a successful businesswoman.","What makes someone successful?"
"such","adj.","A2","如此的","It's such a beautiful day.","What gives you such joy?"
"suddenly","adv.","A2","突然地","The phone suddenly rang.","What suddenly changed your mind?"
"suggest","v.","A2","建议","I suggest we leave early.","What do you suggest for weekend activities?"
"suggestion","n.","A2","建议","Do you have any suggestions?","What suggestion would improve your workplace?"
"suit","n.","A2","西装","He wore a black suit to the meeting.","What occasions require wearing a suit?"
"support","v.","A2","支持","I support your decision completely.","What causes do you support?"
"suppose","v.","A2","假设；认为","I suppose you're right about that.","What do you suppose will happen next year?"
"sure","adj.","A2","确定的","Are you sure about this?","What are you sure you want in life?"
"surprise","n.","A2","惊喜","The party was a wonderful surprise.","What surprise would make you happiest?"
"surprised","adj.","A2","感到惊讶的","I was surprised by her reaction.","What recently surprised you?"
"surprising","adj.","A2","令人惊讶的","The results were quite surprising.","What's surprising about your personality?"
"survey","n.","A2","调查","The survey showed interesting results.","What survey question would you ask people?"
"sweet","adj.","A2","甜的","This cake is too sweet.","What sweet food is your weakness?"
"symbol","n.","A2","符号；象征","The dove is a symbol of peace.","What symbol represents your country?"
"system","n.","A2","系统","Our computer system needs updating.","What system in your life needs improvement?"
"tablet","n.","A2","平板电脑；药片","I read books on my tablet.","What do you use tablets for?"
"talk","v.","A2","谈话","Let's talk about your plans.","What topics do you love talking about?"
"target","n.","A2","目标","Hit the target with the arrow.","What's your main target for this year?"
"task","n.","A2","任务","This task is quite difficult.","What task do you always postpone?"
"taste","v.","A2","尝味道","Can you taste the salt?","What food tastes better than it looks?"
"teaching","n.","A2","教学","Teaching requires great patience.","What makes teaching effective?"
"technology","n.","A2","技术","Technology changes very quickly.","What technology do you depend on most?"
"teenage","adj.","A2","青少年的","Teenage years can be challenging.","What was difficult about your teenage years?"
"temperature","n.","A2","温度","Check the water temperature first.","What temperature is perfect for you?"
"term","n.","A2","术语；学期","This term ends in December.","What term do you use to describe yourself?"
"text","n.","A2","文本；短信","Send me a text message.","What text messages do you send most?"
"themselves","pron.","A2","他们自己","They built the house themselves.","What have you learned by yourselves?"
"thick","adj.","A2","厚的","The book has thick pages.","What thick clothing do you wear in winter?"
"thief","n.","A2","小偷","The thief stole my wallet.","What would deter thieves?"
"thin","adj.","A2","瘦的；薄的","She's very thin for her height.","What's the difference between thin and skinny?"
"thinking","n.","A2","思考","Critical thinking is important.","What type of thinking do you do best?"
"third","n.","A2","第三","This is my third attempt.","What would you choose third in priorities?"
"thought","n.","A2","想法","That's an interesting thought.","What thought motivates you daily?"
"throw","v.","A2","扔","Don't throw garbage on the street.","What do you throw away reluctantly?"
"tidy","adj.","A2","整洁的","Keep your room tidy.","What areas of life do you keep tidy?"
"tie","n.","A2","领带","His tie matches his shirt.","When do you wear a tie?"
"tip","n.","A2","建议；小费","Here's a useful tip for cooking.","What tip would you give new students?"
"tool","n.","A2","工具","A hammer is a useful tool.","What tool do you use most often?"
"top","n.","A2","顶部","Put it on top of the shelf.","What's at the top of your priority list?"
"touch","v.","A2","触摸","Don't touch the hot stove.","What do you like to touch for comfort?"
"tour","n.","A2","旅行；参观","We took a tour of the museum.","What tour would you take in your city?"
"tourism","n.","A2","旅游业","Tourism helps the local economy.","How does tourism affect your area?"
"towards","prep.","A2","朝向","Walk towards the exit.","What are you working towards?"
"towel","n.","A2","毛巾","Use a clean towel to dry.","What color towels do you prefer?"
"tower","n.","A2","塔","The tower is very tall.","What famous tower would you like to visit?"
"toy","n.","A2","玩具","Children love new toys.","What toy did you treasure as a child?"
"track","n.","A2","轨道；跑道","The train runs on this track.","What keeps you on track with goals?"
"tradition","n.","A2","传统","It's a family tradition.","What tradition do you want to continue?"
"traditional","adj.","A2","传统的","I prefer traditional music.","What traditional food do you enjoy?"
"train","n.","A2","火车","The train arrives at 3 PM.","What's the longest train journey you've taken?"
"trainer","n.","A2","教练","The fitness trainer is very helpful.","What type of trainer would you want to work with?"
"training","n.","A2","训练","Job training takes three months.","What training would improve your skills most?"
"transport","n.","A2","交通","Public transport is very convenient here.","What transport do you use daily?"
"traveller","n.","A2","旅行者","She's an experienced traveller.","What makes someone a good traveller?"
"trouble","n.","A2","麻烦","I'm having trouble with this problem.","What trouble do you avoid?"
"truck","n.","A2","卡车","The delivery truck is outside.","What do you think trucks should transport?"
"twin","n.","A2","双胞胎","My sister has twin boys.","What would be interesting about having a twin?"
"typical","adj.","A2","典型的","This is typical weather for January.","What's typical behavior in your culture?"
"underground","adj.","A2","地下的","The underground train system is efficient.","What underground places have you visited?"
"understanding","n.","A2","理解","Thank you for your understanding.","What requires deep understanding?"
"unfortunately","adv.","A2","不幸地","Unfortunately, the event was cancelled.","What unfortunately happened to you recently?"
"unhappy","adj.","A2","不高兴的","She looks unhappy today.","What makes you feel unhappy?"
"uniform","n.","A2","制服","Students must wear school uniforms.","What uniform would you design?"
"unit","n.","A2","单位；单元","This apartment has three units.","What unit of measurement do you use most?"
"united","adj.","A2","团结的","We need to stay united.","What keeps people united?"
"unusual","adj.","A2","不寻常的","That's an unusual name.","What unusual talent do you have?"
"upstairs","adv.","A2","在楼上","My bedroom is upstairs.","What do you keep upstairs?"
"use","v.","A2","使用","How do you use this machine?","What do you use every single day?"
"used to","v.","A2","过去常常","I used to live in Tokyo.","What did you used to believe as a child?"
"user","n.","A2","用户","This app has millions of users.","What makes you a good user of technology?"
"usual","adj.","A2","通常的","This is my usual coffee shop.","What's usual in your morning routine?"
"valley","n.","A2","山谷","The valley is green and beautiful.","What would you do in a peaceful valley?"
"van","n.","A2","面包车","The delivery van arrived early.","What would you transport in a van?"
"variety","n.","A2","多样性","The store has a variety of products.","What variety do you enjoy in life?"
"vehicle","n.","A2","车辆","Park your vehicle in the garage.","What vehicle would be perfect for you?"
"view","n.","A2","景色；观点","The view from here is amazing.","What view would you never get tired of?"
"virus","n.","A2","病毒","Computer viruses can damage files.","How do you protect against viruses?"
"voice","n.","A2","声音","She has a beautiful singing voice.","What voice do you find most pleasant?"
"wait","v.","A2","等待","Please wait for your turn.","What is hardest to wait for?"
"war","n.","A2","战争","War causes terrible suffering.","What causes wars between countries?"
"wash","v.","A2","洗","Wash the dishes after dinner.","What do you wash most frequently?"
"washing","n.","A2","洗涤；洗好的衣物","The washing is still wet.","How often do you do washing?"
"wave","v.","A2","挥手","Wave goodbye to your friends.","When do you wave at people?"
"weak","adj.","A2","虚弱的","I feel weak after being sick.","What makes you feel weak?"
"web","n.","A2","网络","Search for information on the web.","What do you use the web for most?"
"wedding","n.","A2","婚礼","Their wedding was beautiful.","What makes a perfect wedding?"
"weight","n.","A2","重量","What's the weight of this box?","What weight do you carry emotionally?"
"welcome","v.","A2","欢迎","Welcome to our home!","How do you welcome new people?"
"wet","adj.","A2","湿的","Don't sit on the wet chair.","What do you do when you get wet?"
"wheel","n.","A2","轮子","The car has a flat wheel.","What would life be like without wheels?"
"while","n.","A2","一段时间","I haven't seen you for a while.","What do you do while waiting?"
"whole","adj.","A2","整个的","I ate the whole pizza.","What takes your whole attention?"
"whose","pron.","A2","谁的","Whose book is this?","Whose opinion matters most to you?"
"wide","adj.","A2","宽的","This road is very wide.","What should be wider in your city?"
"wild","adj.","A2","野生的","Wild animals live in the forest.","What wild place would you like to visit?"
"wind1","n.","A2","风","The wind is very strong today.","What does wind remind you of?"
"winner","n.","A2","获胜者","Congratulations to the winner!","What makes someone a winner in life?"
"wish","v.","A2","希望","I wish you good luck.","What do you wish for the world?"
"wood","n.","A2","木头","This table is made of wood.","What would you build with wood?"
"wooden","adj.","A2","木制的","She has beautiful wooden furniture.","What wooden object do you treasure?"
"working","n.","A2","工作","Hard working pays off eventually.","What working environment do you prefer?"
"worried","adj.","A2","担心的","I'm worried about the test.","What makes you feel worried?"
"worry","v.","A2","担心","Don't worry about small problems.","What do you worry about unnecessarily?"
"worse","adj.","A2","更糟的","The weather is getting worse.","What makes situations worse?"
"worst","adj.","A2","最糟的","That was the worst movie ever.","What's the worst advice you've received?"
"wow","exclam.","A2","哇","Wow, that's incredible!","What makes you say 'wow'?"
"yet","adv.","A2","还；仍然","I haven't finished yet.","What haven't you done yet?"
"yours","pron.","A2","你的；你们的","This pen is yours, not mine.","What's yours that you'd never share?"
"zero","n.","A2","零","The temperature dropped to zero.","What would you reset to zero?"
